Quantity,UnitPrice,total_amount
11,2.51,27.61
1,1.25,1.25
2,3.35,6.7
1,3.75,3.75
8,1.95,15.6
30,0.85,25.5
8,4.95,39.6
2,0.43,0.86
12,1.95,23.4
2,8.5,17.0
12,1.25,15.0
12,2.95,35.400000000000006
3,3.36,10.08
1,1.66,1.66
8,4.65,37.2
36,5.55,199.79999999999998
4,1.25,5.0
6,2.95,17.700000000000003
6,2.55,15.299999999999999
1,7.62,7.62
1,8.47,8.47
36,4.95,178.20000000000002
2,20.38,40.76
1,4.21,4.21
24,1.25,30.0
10,1.95,19.5
6,1.65,9.899999999999999
1,8.47,8.47
2,11.02,22.04
3,1.66,4.9799999999999995
1,3.36,3.36
12,2.95,35.400000000000006
48,0.42,20.16
2,1.66,3.32
6,2.55,15.299999999999999
4,2.51,10.04
1,7.62,7.62
1,2.95,2.95
10,1.25,12.5
20,0.42,8.4
1,7.62,7.62
1,3.36,3.36
12,5.95,71.4
1,0.85,0.85
1,4.21,4.21
4,1.66,6.64
5,1.66,8.299999999999999
3,2.51,7.529999999999999
6,2.95,17.700000000000003
48,0.42,20.16
4,2.95,11.8
-1,3.75,-3.75
2,3.35,6.7
6,1.95,11.7
2,2.95,5.9
1,0.85,0.85
24,0.42,10.08
8,3.95,31.6
3,5.95,17.85
1,2.1,2.1
2,1.25,2.5
384,0.72,276.48
24,2.1,50.400000000000006
64,1.65,105.6
1,12.75,12.75
75,0.34,25.500000000000004
1,16.98,16.98
1,2.51,2.51
2,3.95,7.9
1,1.25,1.25
10,1.25,12.5
12,0.65,7.800000000000001
1,4.95,4.95
1,1.25,1.25
2,1.25,2.5
6,1.65,9.899999999999999
6,2.55,15.299999999999999
1,3.75,3.75
1,11.02,11.02
12,1.25,15.0
2,4.25,8.5
5,0.85,4.25
1,8.5,8.5
-1,2.1,-2.1
2,2.1,4.2
2,8.5,17.0
24,0.85,20.4
3,1.69,5.07
5,1.95,9.75
12,1.65,19.799999999999997
-1,7.95,-7.95
3,3.75,11.25
1,4.25,4.25
1,7.62,7.62
1,0.85,0.85
12,0.85,10.2
6,2.95,17.700000000000003
2,8.47,16.94
6,2.95,17.700000000000003
1,2.95,2.95
1,5.91,5.91
1,1.25,1.25
2,0.55,1.1
10,0.65,6.5
4,1.66,6.64
4,3.75,15.0
7,2.1,14.700000000000001
1,14.43,14.43
6,1.65,9.899999999999999
24,0.19,4.5600000000000005
2,16.13,32.26
7,1.66,11.62
3,3.36,10.08
2,4.95,9.9
12,0.85,10.2
1,3.36,3.36
1,1.69,1.69
3,2.51,7.529999999999999
12,1.25,15.0
1,2.95,2.95
1,8.5,8.5
36,1.69,60.839999999999996
1,2.51,2.51
2,1.25,2.5
2,10.95,21.9
1,4.21,4.21
1,5.95,5.95
2,0.84,1.68
1,4.95,4.95
1,1.65,1.65
8,4.95,39.6
24,2.1,50.400000000000006
1,2.1,2.1
2,8.47,16.94
3,4.25,12.75
20,1.95,39.0
