Quantity,UnitPrice,total_amount,valor_real,pred_regresion,pred_arbol
2,2.51,5.02,0,0,0
1,3.36,3.36,0,0,0
12,0.55,6.6000000000000005,0,0,0
4,1.28,5.12,0,0,0
6,2.95,17.700000000000003,0,0,0
2,9.95,19.9,0,0,0
1,7.62,7.62,0,0,0
2,11.02,22.04,0,0,0
1,4.95,4.95,0,0,0
3,1.25,3.75,0,0,0
1,25.49,25.49,0,0,0
2,0.85,1.7,0,0,0
24,0.85,20.4,0,0,0
5,18.0,90.0,0,0,0
12,1.45,17.4,0,0,0
2,16.98,33.96,0,0,0
1,4.21,4.21,0,0,0
2,8.47,16.94,0,0,0
1,0.85,0.85,0,0,0
2,1.66,3.32,0,0,0
12,1.95,23.4,0,0,0
-144,0.72,-103.67999999999999,1,1,1
5,2.1,10.5,0,0,0
3,3.75,11.25,0,0,0
1,11.87,11.87,0,0,0
6,2.95,17.700000000000003,0,0,0
12,12.72,152.64000000000001,0,0,0
12,1.45,17.4,0,0,0
1,1.66,1.66,0,0,0
4,11.02,44.08,0,0,0
8,1.25,10.0,0,0,0
2,0.42,0.84,0,0,0
3,1.95,5.85,0,0,0
54,3.81,205.74,0,0,0
1,4.21,4.21,0,0,0
2,1.28,2.56,0,0,0
9,4.21,37.89,0,0,0
12,2.55,30.599999999999998,0,0,0
12,1.25,15.0,0,0,0
1,4.21,4.21,0,0,0
2,5.91,11.82,0,0,0
9,1.45,13.049999999999999,0,0,0
1,2.51,2.51,0,0,0
2,28.0,56.0,0,0,0
2,0.85,1.7,0,0,0
1,14.43,14.43,0,0,0
1,2.55,2.55,0,0,0
12,2.1,25.200000000000003,0,0,0
3,2.51,7.529999999999999,0,0,0
3,2.51,7.529999999999999,0,0,0
24,1.65,39.599999999999994,0,0,0
3,2.1,6.300000000000001,0,0,0
6,6.75,40.5,0,0,0
2,3.36,6.72,0,0,0
-1,3.75,-3.75,1,1,1
3,0.85,2.55,0,0,0
3,1.45,4.35,0,0,0
20,0.65,13.0,0,0,0
50,0.42,21.0,0,0,0
1,3.75,3.75,0,0,0
1,7.62,7.62,0,0,0
1,2.1,2.1,0,0,0
2,4.21,8.42,0,0,0
36,0.85,30.599999999999998,0,0,0
1,7.95,7.95,0,0,0
2,39.95,79.9,0,0,0
24,0.55,13.200000000000001,0,0,0
2,4.25,8.5,0,0,0
6,2.95,17.700000000000003,0,0,0
2,1.25,2.5,0,0,0
3,1.66,4.9799999999999995,0,0,0
1,2.51,2.51,0,0,0
12,0.85,10.2,0,0,0
1,3.75,3.75,0,0,0
1,3.36,3.36,0,0,0
2,0.85,1.7,0,0,0
1,1.95,1.95,0,0,0
2,2.51,5.02,0,0,0
1,2.51,2.51,0,0,0
1,7.95,7.95,0,0,0
12,0.85,10.2,0,0,0
2,2.55,5.1,0,0,0
1,3.75,3.75,0,0,0
2,2.51,5.02,0,0,0
2,4.21,8.42,0,0,0
1,12.72,12.72,0,0,0
128,1.65,211.2,0,0,0
1,1.65,1.65,0,0,0
-3,2.55,-7.6499999999999995,1,1,1
1,1.66,1.66,0,0,0
1,1.25,1.25,0,0,0
1,1.65,1.65,0,0,0
2,7.62,15.24,0,0,0
2,1.65,3.3,0,0,0
6,2.55,15.299999999999999,0,0,0
3,4.95,14.850000000000001,0,0,0
6,1.65,9.899999999999999,0,0,0
1,3.75,3.75,0,0,0
1,3.75,3.75,0,0,0
2,11.02,22.04,0,0,0
1,4.21,4.21,0,0,0
1,2.95,2.95,0,0,0
2,5.91,11.82,0,0,0
1,8.47,8.47,0,0,0
4,0.85,3.4,0,0,0
35,6.77,236.95,0,0,0
8,3.75,30.0,0,0,0
72,0.65,46.800000000000004,0,0,0
3,4.95,14.850000000000001,0,0,0
2,7.62,15.24,0,0,0
24,0.55,13.200000000000001,0,0,0
2,3.36,6.72,0,0,0
2,0.65,1.3,0,0,0
3,4.21,12.629999999999999,0,0,0
1,1.25,1.25,0,0,0
6,2.1,12.600000000000001,0,0,0
1,3.36,3.36,0,0,0
1,1.65,1.65,0,0,0
1,5.91,5.91,0,0,0
1,0.85,0.85,0,0,0
1,8.47,8.47,0,0,0
1,3.36,3.36,0,0,0
1,8.47,8.47,0,0,0
1,8.95,8.95,0,0,0
1,2.1,2.1,0,0,0
1,1.66,1.66,0,0,0
16,4.25,68.0,0,0,0
12,2.1,25.200000000000003,0,0,0
24,3.39,81.36,0,0,0
6,1.25,7.5,0,0,0
18,2.51,45.17999999999999,0,0,0
2,5.06,10.12,0,0,0
1,1.49,1.49,0,0,0
2,35.75,71.5,0,0,0
1,8.5,8.5,0,0,0
6,1.65,9.899999999999999,0,0,0
1,0.0,0.0,0,0,0
2,0.85,1.7,0,0,0
-4,2.95,-11.8,1,1,1
1,5.91,5.91,0,0,0
2,7.95,15.9,0,0,0
1,11.02,11.02,0,0,0
6,2.95,17.700000000000003,0,0,0
1,8.47,8.47,0,0,0
5,3.45,17.25,0,0,0
2,0.42,0.84,0,0,0
1,1.45,1.45,0,0,0
1,2.51,2.51,0,0,0
5,0.85,4.25,0,0,0
1,2.51,2.51,0,0,0
10,1.95,19.5,0,0,0
5,0.85,4.25,0,0,0
24,2.55,61.199999999999996,0,0,0
1,0.85,0.85,0,0,0
2,3.75,7.5,0,0,0
1,4.21,4.21,0,0,0
2,3.36,6.72,0,0,0
12,0.42,5.04,0,0,0
1,4.95,4.95,0,0,0
2,2.51,5.02,0,0,0
3,2.1,6.300000000000001,0,0,0
12,1.45,17.4,0,0,0
4,3.95,15.8,0,0,0
3,2.1,6.300000000000001,0,0,0
12,1.25,15.0,0,0,0
1,1.66,1.66,0,0,0
1,5.91,5.91,0,0,0
8,1.69,13.52,0,0,0
9,0.85,7.6499999999999995,0,0,0
1,3.75,3.75,0,0,0
2,7.95,15.9,0,0,0
24,1.95,46.8,0,0,0
12,1.95,23.4,0,0,0
2,5.91,11.82,0,0,0
2,8.5,17.0,0,0,0
6,1.85,11.100000000000001,0,0,0
8,3.75,30.0,0,0,0
7,9.32,65.24000000000001,0,0,0
3,4.21,12.629999999999999,0,0,0
4,3.75,15.0,0,0,0
5,2.95,14.75,0,0,0
9,5.06,45.54,0,0,0
1,8.47,8.47,0,0,0
24,0.55,13.200000000000001,0,0,0
1,7.95,7.95,0,0,0
2,7.95,15.9,0,0,0
4,8.5,34.0,0,0,0
1,0.85,0.85,0,0,0
1,2.51,2.51,0,0,0
1,3.95,3.95,0,0,0
2,9.95,19.9,0,0,0
5,1.25,6.25,0,0,0
24,0.85,20.4,0,0,0
8,0.85,6.8,0,0,0
2,6.95,13.9,0,0,0
2,1.28,2.56,0,0,0
2,2.51,5.02,0,0,0
2,6.35,12.7,0,0,0
6,2.95,17.700000000000003,0,0,0
12,2.95,35.400000000000006,0,0,0
1,4.21,4.21,0,0,0
6,2.95,17.700000000000003,0,0,0
-2,2.95,-5.9,1,1,1
1,2.95,2.95,0,0,0
10,1.25,12.5,0,0,0
24,0.21,5.04,0,0,0
1,0.85,0.85,0,0,0
2,5.91,11.82,0,0,0
1,3.36,3.36,0,0,0
3,2.1,6.300000000000001,0,0,0
12,0.42,5.04,0,0,0
5,3.95,19.75,0,0,0
1,2.1,2.1,0,0,0
3,3.36,10.08,0,0,0
72,1.25,90.0,0,0,0
1,8.47,8.47,0,0,0
12,0.65,7.800000000000001,0,0,0
96,0.42,40.32,0,0,0
6,2.95,17.700000000000003,0,0,0
1,1.95,1.95,0,0,0
12,2.1,25.200000000000003,0,0,0
1,0.85,0.85,0,0,0
1,6.77,6.77,0,0,0
1,1.65,1.65,0,0,0
4,1.25,5.0,0,0,0
12,1.45,17.4,0,0,0
10,2.51,25.099999999999998,0,0,0
1,8.47,8.47,0,0,0
10,1.65,16.5,0,0,0
12,0.42,5.04,0,0,0
1,2.51,2.51,0,0,0
1,29.95,29.95,0,0,0
24,1.49,35.76,0,0,0
1,7.5,7.5,0,0,0
29,5.91,171.39000000000001,0,0,0
1,1.66,1.66,0,0,0
4,3.75,15.0,0,0,0
1,5.09,5.09,0,0,0
6,2.95,17.700000000000003,0,0,0
24,2.1,50.400000000000006,0,0,0
24,4.25,102.0,0,0,0
6,2.55,15.299999999999999,0,0,0
8,2.95,23.6,0,0,0
-36,0.42,-15.12,1,1,1
24,0.42,10.08,0,0,0
24,1.95,46.8,0,0,0
24,1.25,30.0,0,0,0
6,4.25,25.5,0,0,0
8,5.06,40.48,0,0,0
6,4.21,25.259999999999998,0,0,0
4,2.95,11.8,0,0,0
3,1.25,3.75,0,0,0
1,2.51,2.51,0,0,0
2,4.25,8.5,0,0,0
1,0.85,0.85,0,0,0
15,4.95,74.25,0,0,0
1,16.13,16.13,0,0,0
8,4.95,39.6,0,0,0
1,2.95,2.95,0,0,0
6,0.55,3.3000000000000003,0,0,0
3,2.1,6.300000000000001,0,0,0
1,5.91,5.91,0,0,0
2,12.75,25.5,0,0,0
1,4.21,4.21,0,0,0
1,2.95,2.95,0,0,0
1,1.66,1.66,0,0,0
1,21.23,21.23,0,0,0
12,4.65,55.800000000000004,0,0,0
1,2.51,2.51,0,0,0
4,3.75,15.0,0,0,0
1,7.62,7.62,0,0,0
2,9.95,19.9,0,0,0
6,2.55,15.299999999999999,0,0,0
12,1.25,15.0,0,0,0
20,0.72,14.399999999999999,0,0,0
1,9.32,9.32,0,0,0
20,5.91,118.2,0,0,0
2,2.51,5.02,0,0,0
4,1.28,5.12,0,0,0
3,3.36,10.08,0,0,0
6,2.55,15.299999999999999,0,0,0
4,7.95,31.8,0,0,0
2,1.95,3.9,0,0,0
3,4.95,14.850000000000001,0,0,0
1,4.21,4.21,0,0,0
12,1.25,15.0,0,0,0
2,2.1,4.2,0,0,0
24,0.29,6.959999999999999,0,0,0
4,2.51,10.04,0,0,0
6,1.28,7.68,0,0,0
1,1.28,1.28,0,0,0
2,2.55,5.1,0,0,0
1,1.66,1.66,0,0,0
1,0.85,0.85,0,0,0
2,1.25,2.5,0,0,0
1,0.85,0.85,0,0,0
12,1.25,15.0,0,0,0
